id,provider_id,payment_measure_name,payment_measure_id,payment_category,payment,n_score,value_of_care_display_name,value_of_care_display_id,value_of_care_category,,,
362,341307,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16479,0.89,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
364,341307,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,15743,0.42,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
366,341311,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16317,0.85,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
368,341311,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17929,0.75,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
370,341314,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15641,0.69,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
372,341314,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16626,0.55,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
374,341315,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15612,0.69,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
376,341315,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16809,0.58,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
380,341316,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,16189,0.49,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
384,341317,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,15617,0.4,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
386,341318,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,12630,0,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
387,341318,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,21465,0.34,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
388,341318,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,14642,0.25,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
390,341319,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16343,0.85,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
391,341319,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,21118,0.3,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
392,341319,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15175,0.33,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
396,341320,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15112,0.32,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
398,341322,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15680,0.7,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
399,341322,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22220,0.43,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
400,341322,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17073,0.62,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
402,341323,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,14835,0.51,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
404,341323,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,15658,0.41,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
407,341324,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,20819,0.27,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
408,341324,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,15970,0.45,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
409,341325,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,19933,0.12,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,,,
410,341325,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,14417,0.41,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
412,341325,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,13243,0.04,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
413,341326,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,22791,0.62,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,,,
414,341326,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,13805,0.27,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,,,
415,341326,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,22116,0.42,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
416,341326,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,15131,0.33,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
418,341327,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,14427,0.41,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
419,341327,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,18582,0,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,,,
420,341327,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,13799,0.12,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,,,
422,341328,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,15961,0.77,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
423,341328,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,21720,0.37,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,,,
424,341328,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17120,0.63,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
426,341329,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,16007,0.78,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,,,
428,341329,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,17461,0.68,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,,,
