Name,EduScore,Hospital
"Evan A Ballard, MD",3,Duke University Hospital
"Steven Prakken, MD",0,Duke University Hospital
"Philip A Davenport, MD",2,Duke University Hospital
"Vivian Onsy Makar, MD",0,Duke University Hospital
"Jason W Ryan, MD",0,Vidant Medical Center
"George William Jackson, MD",2,Duke Regional Hospital
"Joan T Jordan, MD",3,WakeMed Cary Hospital
"Robert Wilson Kieffer, MD",3,Charles George Veterans Affairs Medical Center
"Toby S Brown, PA",0,Charles George Veterans Affairs Medical Center
Leslie L Davis,0,University of North Carolina Hospitals
"Emad Ward, MD",0,Durham Veterans Affairs Medical Center
"Robert Bailey Stifler, MD",0,Duke University Hospital
"Lynn Evette Keplinger, MD",0,Durham Veterans Affairs Medical Center
"Ronald D Krull, MD",0,Duke University Hospital
"Evelyn D Schmidt, MD",3,Duke University Hospital
"Karl William Stevenson, MD",0,Duke University Hospital
"Marc A Finkel, MD",1,Duke University Hospital
"Ann E Whitaker, PA",0,Duke University Hospital
"Lynn A Hughes, MD",0,Duke University Hospital
"Paul Harris Wiegand, MD",0,Duke University Hospital
"Susan Nicole Hastings, MD",1,Durham Veterans Affairs Medical Center
"Barbara Anastasia Crockett, MD",0,Wm. Jennings Bryan Dorn Veterans Affairs Medical Center
Marrilyn Diane (Austin) McGuire,0,WakeMed Raleigh Campus
"John Franklin Mills, MD",0,Maria Parham Medical Center
"Shailesh C Shirolkar, MD",0,WakeMed Raleigh Campus
"Grace Mccall Auten, MD",3,Benefis Health System
"Beverly D Gregory, PA",0,MedStar Southern Maryland Hospital Center
"Lynn A Hughes, MD",0,Duke University Hospital
"Woodhall Stopford, MD",0,Duke Regional Hospital
"John J Villani, MD",3,Durham Veterans Affairs Medical Center
"Abhinav Chandra, MD",1,Kaiser Permanente South Sacramento Medical Center
"Patrick Leroy Blohm, MD",0,Duke University Hospital
"Daniel O Hogenauer, MD",2,Eastern Maine Medical Center
"Elizabeth Cuervo Tilson, MD",3,Duke University Hospital
"Jasmine Singh, MD",0,Duke University Hospital
"Wendy Owen Henderson, MD",1,Durham Veterans Affairs Medical Center
"Alison P (Parsons) Kerekes, PA",0,Duke Regional Hospital
"George Aitken, MD",2,Duke University Hospital
"Willard Edward Valentine, PA",0,Maria Parham Medical Center
"Ellie Rose Lee, MD",2,University of North Carolina Hospitals
"Okoronkwo Uchenna Ogan, MD",2,Duke Raleigh Hospital
"Jasmine Singh, MD",0,Duke University Hospital
"Elizabeth Cuervo Tilson, MD",3,Duke University Hospital
"Catherine Lee Chang, MD",1,Duke University Hospital
"Daniel O Hogenauer, MD",2,Eastern Maine Medical Center
"Donna M. Tuccero, MD",0,Duke Regional Hospital
"Margie Catherine Sander, MD",0,Duke University Hospital
"Thomas Scott Dziedzic, MD",0,Duke University Hospital
"Kelly C. Nelson, MD",1,Durham Veterans Affairs Medical Center
"April Laverne Buscher, MD",3,Durham Veterans Affairs Medical Center
"Sara T. Moshiri, MD",0,Geisinger Medical Center
"Jennica K Ng, MD",0,Duke University Hospital
"Amy M Neville, MD",0,Durham Veterans Affairs Medical Center
"Lisena G. Verka, MD",0,Duke Regional Hospital
"Robert Thomas Abbott, MD",0,Duke University Hospital
"Adnan Wajid Ali, MD",0,Northwestern Medicine Central DuPage Hospital
Margaret Thompson Darst,0,WakeMed Raleigh Campus
"Alan David Friedman I, MD",2,Charles George Veterans Affairs Medical Center
"Hector Himel Henry II, MD",0,W. G. (Bill) Heffner Veterans Affairs Medical Center
"Thomas Scott Dziedzic, MD",0,Duke University Hospital
"Amy M Neville, MD",0,Durham Veterans Affairs Medical Center
"Prakash Valiveti, MD",0,Summerlin Hospital Medical Center
"Michael Brian Fessler, MD",0,Durham Veterans Affairs Medical Center
"Richard David Selman, MD",2,Duke University Hospital
"Frankie-Lynn Silver, MD",0,Duke University Hospital
"Scott Knowles Pruitt, MD",3,Durham Veterans Affairs Medical Center
"Daniel Franklin Geersen, PA",0,Durham Veterans Affairs Medical Center
"Crystal D Campbell, PA",0,Duke Raleigh Hospital
"James W Heine, PA",0,Duke University Hospital
"Bertram E. Walls, MD",3,Duke University Hospital
"Maria Martinez, MD",0,Vidant Medical Center
"Maribeth Horgan Schrum, PA",0,Southeastern Health
"Charles Wesley Lallier, MD",1,Duke University Hospital
"Mark William Sebastian, MD",0,Hartford Hospital
"Leonard R Prosnitz, MD",0,Duke Regional Hospital
"Leila A Daly, MD",0,Duke University Hospital
"Kristine Marie Schmit, MD",3,Maria Parham Medical Center
"Margie Catherine Sander, MD",0,Duke University Hospital
"Sara T. Moshiri, MD",0,Geisinger Medical Center
"Jennica K Ng, MD",0,Duke University Hospital
"Jonathan B Hullett, MD",0,Duke University Hospital
"Robert A Rosati, MD",3,Duke Regional Hospital
"Daniel Franklin Geersen, PA",0,Durham Veterans Affairs Medical Center
"Kimball Lael Christianson, MD",2,Saint Alphonsus Regional Medical Center
"Elizabeth Boswell, MD",0,Durham Veterans Affairs Medical Center
"John Anthony Papalas III, MD",0,Duke University Hospital
"Anita M Pisharody, MD",0,Duke University Hospital
"Crystal D Campbell, PA",0,Duke Raleigh Hospital
"Christopher Nnanna Oti, MD",0,Duke University Hospital
"Charles B Donovan, MD",2,St. Francis Regional Medical Center
"Eric Douglas Whiting, MD",1,Duke University Hospital
"Sarah J (Whang) Ro, MD",0,UNC REX Healthcare
"Jennifer Ann Chancellor, MD",1,WakeMed Raleigh Campus
"Kalyan S. Wadwa, MD",0,Duke University Hospital
"Tara O'Brien, MD",0,Duke Regional Hospital
"Timothy D. Shafman, MD",0,Newport Hospital
"Scott Jeffrey Denardo, MD",3,Southeastern Health
"John L Briggs, MD",0,Duke University Hospital
"William Jonathan Parsons, MD",1,WakeMed Cary Hospital
"Leroy Roberts Jr., MD",0,Columbus Regional Healthcare System
"Mark Lucas Phillips, MD",0,Moses H. Cone Memorial Hospital
"Robert W Gardner, MD",0,Duke University Hospital
"Howard Joseph Eisenson, MD",3,Duke Regional Hospital
"Alan Bruce Segal, MD",0,Duke University Hospital
"Evelyn Ntube Beal, MD",0,Duke University Hospital
"James Stuart Mcgrath, MD",0,Duke University Hospital
"Philip Walther, MD",3,Durham Veterans Affairs Medical Center
"Jeffrey L. Warhaftig, MD",2,Duke University Hospital
"Phillip Earl Stover, MD",0,Duke University Hospital
"John Dwyer Powderly II, MD",0,Duke University Hospital
"Connie Ching-Yuan Stewart, MD",1,Memorial Hospital
"Kenneth W Mahaffey, MD",0,Stanford Health Care
"William Jonathan Parsons, MD",1,WakeMed Cary Hospital
"Mark Lucas Phillips, MD",0,Moses H. Cone Memorial Hospital
"Leroy Roberts Jr., MD",0,Columbus Regional Healthcare System
"Kamla Terese Jain, MD",0,Duke University Hospital
"David Lee Christopherson, MD",2,Duke University Hospital
"Paul S. Andrews, MD",1,Duke Regional Hospital
"John C Haney, MD",3,Duke University Hospital
"Augustus Oliver Grant, MD",0,Maria Parham Medical Center
"Lakshmi Vadlamudi Gordon, MD",0,Duke University Hospital
"John Charles Finn, MD",2,North Carolina Specialty Hospital
"Gregory Fabian Hulka, MD",3,North Carolina Specialty Hospital
"William Lawrence Joyner, MD",0,Duke University Hospital
"Bruce Stephen Boliek, MD",1,Duke University Hospital
"James Enlou Tcheng, MD",3,Durham Veterans Affairs Medical Center
"Christopher Ronald Walters, MD",0,Southeastern Health
"Christopher Brent Pugh, MD",1,UNC REX Healthcare
"James David Crandall, MD",0,Duke University Hospital
"Daryl Charles Emery, MD",0,WakeMed Cary Hospital
"Barbara D Alexander, MD",0,Duke University Hospital
"Connie Eunjung Kim, MD",2,Duke University Hospital
"Ajeet Sharma, MD",0,HSHS St. Clare Memorial Hospital
"Milton James, MD",0,Duke Regional Hospital
"John J Engemann, MD",0,UNC REX Healthcare
"Cheryl R Robertson, MD",0,Carolinas Medical Center
"Lois Ann Nichols, MD",0,Duke University Hospital
"Paul S Riske, MD",0,WakeMed Raleigh Campus
"Thomas A Dalton, MD",0,Duke University Hospital
"Ralph S Christy Jr., MD",1,Duke University Hospital
"Neil Abraham Ninan, MD",0,Tulane Medical Center
"Geeta Sushil Ramchandani, MD",0,University of North Carolina Hospitals
"John Allen Stahl, MD",3,Morehead Memorial Hospital
"Ajit S Chauhan, MD",0,Duke University Hospital
"Rebecca Sara Rich, MD",0,Duke University Hospital
"Richard G Michal, MD",3,Duke University Hospital
"Stephen Allen Grubb, MD",2,Duke University Hospital
"Martin J Sullivan, MD",1,Jackson-Madison County General Hospital
"Frank Howard Christensen, MD",0,Duke University Hospital
"Emily N Vinson, MD",3,Durham Veterans Affairs Medical Center
"Nicole Gaskins (Gaskins) Greyshock, MD",1,Durham Veterans Affairs Medical Center
"Glen Anthony Nowachek, MD",0,Duke University Hospital
"Caryn Marjorie Hertz, MD",1,University of North Carolina Hospitals
"Srinivas Pyati, MD",0,Durham Veterans Affairs Medical Center
"Michele T Quinn, MD",3,Providence Newberg Medical Center
"Vernon Watson Pugh III, MD",0,Duke University Hospital
"Reese Hunter Clark, MD",1,Duke University Hospital
"Sally Sockwell Smith, MD",1,Southeastern Health
"Kulbir K Sidhu, MD",0,Maria Parham Medical Center
"Hilliard F Seigler, MD",1,Durham Veterans Affairs Medical Center
"Gautam M Sreeram, MD",2,Duke University Hospital
"Juliann Cotter Hobbs, MD",1,Durham Veterans Affairs Medical Center
"Ellen Marie Flanagan, MD",1,Durham Veterans Affairs Medical Center
"Manuel Jose Gorrin-Rivas, MD",0,Vidant Medical Center
"Leonard Anthony Talbot, MD",3,Loyola University Medical Center
"Francisco M Hodges, MD",0,Duke University Hospital
"Paolo Mannelli, MD",0,Select Specialty Hospital-Durham
"Ram Ron Miller, MD",0,Durham Veterans Affairs Medical Center
"William Vance Singletary Jr., MD",3,Duke University Hospital
"John D Davis Jr., MD",1,Watauga Medical Center
"Francisco M Hodges, MD",0,Duke University Hospital
"David M Brizel, MD",2,Duke Raleigh Hospital
"Peter Dwane, MD",0,Durham Veterans Affairs Medical Center
"Mitchell Heflin, MD",1,Durham Veterans Affairs Medical Center
"Wanda Cook Lakey, MD",3,Duke University Hospital
"Noah Sylvan Kalman, MD",3,Durham Veterans Affairs Medical Center
"Julia Lunsford, MD",1,Durham Veterans Affairs Medical Center
"Donna E (Kozee) Sharpe, MD",2,Durham Veterans Affairs Medical Center
"Warren Anderson Kinghorn, MD",0,Duke University Hospital
"Francis J Miller Jr., MD",0,Durham Veterans Affairs Medical Center
"Mehul Vipul Mankad, MD",2,Duke University Hospital
"David Ranney, MD",2,Durham Veterans Affairs Medical Center
"Thomas Myron Coffman, MD",1,Durham Veterans Affairs Medical Center
"Susanna Naggie, MD",3,Duke Regional Hospital
"Grant Edward Garrigues, MD",0,Durham Veterans Affairs Medical Center
"Cary Robertson, MD",0,Durham Veterans Affairs Medical Center
"Christopher James Hostler, MD",3,Duke Regional Hospital
"Junzo Paul Chino, MD",0,Duke Regional Hospital
"Andrew J Lodge, MD",3,Duke Regional Hospital
"Jonathan Stiber, MD",2,Durham Veterans Affairs Medical Center
"Stephen N Lang, MD",0,Duke Regional Hospital
"Alison P Toth, MD",3,Durham Veterans Affairs Medical Center
"Michael Fierro, MD",0,Duke Regional Hospital
"Jeffrey R Petrella, MD",0,Durham Veterans Affairs Medical Center
"Linda Gray Leithe, MD",1,Durham Veterans Affairs Medical Center
"Salvador Borges-Neto, MD",0,Durham Veterans Affairs Medical Center
"Rajendra Annasahab Morey, MD",0,Durham Veterans Affairs Medical Center
"Terri Gay Monk, MD",2,Durham Veterans Affairs Medical Center
"Mihai Victor Podgoreanu, MD",3,Durham Veterans Affairs Medical Center
"Calhoun D Cunningham III, MD",0,Duke Raleigh Hospital
"Christopher Mantyh, MD",0,Duke Regional Hospital
"Paul J Mosca, MD",1,Duke Regional Hospital
"Matthew Roe, MD",3,Durham Veterans Affairs Medical Center
"Terri Gay Monk, MD",2,Durham Veterans Affairs Medical Center
"Mihai Victor Podgoreanu, MD",3,Durham Veterans Affairs Medical Center
"Christopher Mantyh, MD",0,Duke Regional Hospital
"Paul J Mosca, MD",1,Duke Regional Hospital
"Jesse Layden Tucker, MD",0,Durham Veterans Affairs Medical Center
"Brant A Inman, MD",2,Duke University Hospital
"John Kingsley Chang, MD",0,St. Francis Medical Center
"Robert R Allingham, MD",0,Duke University Hospital
"Maria J Joyce, MD",0,Durham Veterans Affairs Medical Center
"Richard Adam Leder, MD",0,Durham Veterans Affairs Medical Center
"William Samuel Yancy Jr., MD",3,Duke Regional Hospital
"Lisa G Criscione-Schreiber, MD",3,Duke University Hospital
"Rowena Joy Dolor, MD",3,Duke University Hospital
"Stephen M Kimani, MD",0,Durham Veterans Affairs Medical Center
"Sergio Mendoza-Lattes, MD",0,Duke Regional Hospital
"Ziad Gellad, MD",3,Durham Veterans Affairs Medical Center
"Adrianne E. Sever, MD",2,Durham Veterans Affairs Medical Center
"Detlev Erdmann, MD",0,Duke Regional Hospital
"David Guy Kirsch, MD",3,Duke University Hospital
"Jonathan C Routh, MD",2,Durham Veterans Affairs Medical Center
"Alvin Roy Cabrera, MD",3,Duke Raleigh Hospital
"David Richard Sopko, MD",0,Duke University Hospital
"Maureane Hoffman, MD",0,Durham Veterans Affairs Medical Center
"Erik Magnus Ohman, MD",0,Duke University Hospital
"Brian E Brigman, MD",1,Durham Veterans Affairs Medical Center
"Rodger A Liddle, MD",2,Duke University Hospital
"David S Enterline, MD",1,Duke University Hospital
"Debara L Tucci, MD",1,Durham Veterans Affairs Medical Center
"Patrick H. Pun, MD",2,Person Memorial Hospital
"Camille G. Frazier-Mills, MD",2,Duke University Hospital
"Sharon Fekrat, MD",3,Durham Veterans Affairs Medical Center
"Brian Czito, MD",0,Duke University Hospital
"Dean Curtis Taylor, MD",3,Durham Veterans Affairs Medical Center
"Murat Osman Arcasoy, MD",0,Durham Veterans Affairs Medical Center
"Casey Tudor Chollet, MD",0,Duke Regional Hospital
"Adrian Hernandez, MD",1,Durham Veterans Affairs Medical Center
"Ramon Mitra Esclamado, MD",0,Duke Raleigh Hospital
"Manesh R. Patel, MD",2,Central Carolina Hospital
"Douglas Charles McCrory, MD",0,Durham Veterans Affairs Medical Center
"Kevin Jae Choi, MD",0,Durham Veterans Affairs Medical Center
"Thomas Edward Buchheit, MD",2,Duke University Hospital
"Robert D Zura, MD",3,Durham Veterans Affairs Medical Center
"Regina Crawford, MD",0,Durham Veterans Affairs Medical Center
"David Witsell, MD",0,Durham Veterans Affairs Medical Center
"Usha P Reddy, MD",0,New Hanover Regional Medical Center
"James Aaron Tulsky, MD",0,Durham Veterans Affairs Medical Center
"Waleska Michelle Pabon-Ramos, MD",0,Durham Veterans Affairs Medical Center
"Robert M Tighe, MD",0,Duke University Hospital
"Saurabh Ranjan Sinha, MD",2,Durham Veterans Affairs Medical Center
"Kenneth W Lyles, MD",0,Durham Veterans Affairs Medical Center
"Shivanand P Lad, MD",0,Durham Veterans Affairs Medical Center
"Timothy Collins, MD",0,Durham Veterans Affairs Medical Center
"Jullia Rosdahl, MD",2,Duke University Hospital
"Carmelo A Milano, MD",3,Duke Regional Hospital
"Jason Aaron Liss, MD",3,Duke University Hospital
"Scott Daniel Walter, MD",3,Duke University Hospital
"Bridget Fey Koontz, MD",0,Duke University Hospital
"Marie Archambault Carlson, MD",3,Duke University Hospital
"Marguerite Martha Cullen, MD",3,Duke Regional Hospital
"Samuel Fisher, MD",3,Durham Veterans Affairs Medical Center
"Dennis Abraham, MD",0,Duke University Hospital
"Michael H Sketch, MD",0,Durham Veterans Affairs Medical Center
"Eric Postel, MD",0,Duke University Hospital
"Brittany W. White, PA",0,North Carolina Specialty Hospital
"Cynthia A Moylan, MD",0,Durham Veterans Affairs Medical Center
"Patrick Brady Cacchio, PA",0,Durham Veterans Affairs Medical Center
"Erin B Lesesky, MD",2,Durham Veterans Affairs Medical Center
"Christian Blake Cameron, MD",0,Durham Veterans Affairs Medical Center
"Jeannette F. Stein, MD",1,Durham Veterans Affairs Medical Center
"Susan Bailey Gurley, MD",3,Durham Veterans Affairs Medical Center
"Kenneth Heaton Wilson, MD",1,Durham Veterans Affairs Medical Center
"Karen E Welty-Wolf, MD",3,Duke University Hospital
"Stanley Robboy, MD",2,Duke Regional Hospital
"Cathleen Colon-Emeric, MD",3,Durham Veterans Affairs Medical Center
"Jonathan B Mark, MD",3,Durham Veterans Affairs Medical Center
"Claude A Piantadosi, MD",3,Durham Veterans Affairs Medical Center
"Chris Granger, MD",0,Durham Veterans Affairs Medical Center
"Mark Paul Donahue, MD",0,Durham Veterans Affairs Medical Center
"Julian Clint Hong, MD",0,Duke University Hospital
"Vadim Tsvankin, MD",0,Durham Veterans Affairs Medical Center
"Thomas Sporn, MD",0,Durham Veterans Affairs Medical Center
"Scott Robert, MD",3,Duke Regional Hospital
"Rendon C Nelson, MD",0,Durham Veterans Affairs Medical Center
"Eugene C Kovalik, MD",3,Durham Veterans Affairs Medical Center
"Kelly Walton Muir, MD",3,Durham Veterans Affairs Medical Center
"Ramon Mitra Esclamado, MD",0,Duke Raleigh Hospital
"Michael Eric Lipkin, MD",2,Duke University Hospital
"Manesh R. Patel, MD",2,Central Carolina Hospital
"Laura Williams Musselwhite, MD",3,Durham Veterans Affairs Medical Center
"Douglas Charles McCrory, MD",0,Durham Veterans Affairs Medical Center
"Janice T. Busher, MD",0,Vidant Bertie Hospital
"Thomas Bashore, MD",1,Durham Veterans Affairs Medical Center
"Robert D Zura, MD",3,Durham Veterans Affairs Medical Center
"Adrian Hernandez, MD",1,Durham Veterans Affairs Medical Center
"Michael Nicolo Ferrandino, MD",2,Durham Veterans Affairs Medical Center
"David M Kaylie, MD",0,Durham Veterans Affairs Medical Center
"Hans Ludger Tillmann, MD",0,Duke Regional Hospital
"Natalie A Afshari, MD",3,Duke University Hospital
"Manisha Palta, MD",0,Duke University Hospital
"Robert Douglas Fitch, MD",3,Duke Regional Hospital
"Gregory Georgiade, MD",3,Duke Raleigh Hospital
"Karen P Alexander, MD",3,Durham Veterans Affairs Medical Center
"Kenneth W Lyles, MD",0,Durham Veterans Affairs Medical Center
"Timothy Collins, MD",0,Durham Veterans Affairs Medical Center
"Carmelo A Milano, MD",3,Duke Regional Hospital
"Jullia Rosdahl, MD",2,Duke University Hospital
"Bridget Fey Koontz, MD",0,Duke University Hospital
"Jason Aaron Liss, MD",3,Duke University Hospital
"Julie Kay Marosky (Marosky) Thacker, MD",2,Durham Veterans Affairs Medical Center
"Irenee M Duncan, MD",0,Durham Veterans Affairs Medical Center
"Katherine Schuver Garman, MD",3,Durham Veterans Affairs Medical Center
"Stuart James McKinnon, MD",0,Duke University Hospital
"Lisa M Ho, MD",0,Durham Veterans Affairs Medical Center
"Richard Frothingham, MD",3,Durham Veterans Affairs Medical Center
"Nancy W Knudsen, MD",0,Durham Veterans Affairs Medical Center
"Krishnakumar Udayakumar, MD",3,Durham Veterans Affairs Medical Center
"Yen-Rei Andrea Yu, MD",3,Duke Regional Hospital
"Kenneth Heaton Wilson, MD",1,Durham Veterans Affairs Medical Center
"Karen E Welty-Wolf, MD",3,Duke University Hospital
"Stanley Robboy, MD",2,Duke Regional Hospital
"Cathleen Colon-Emeric, MD",3,Durham Veterans Affairs Medical Center
"Jonathan B Mark, MD",3,Durham Veterans Affairs Medical Center
"Claude A Piantadosi, MD",3,Durham Veterans Affairs Medical Center
"Chris Granger, MD",0,Durham Veterans Affairs Medical Center
"Uptal D Patel, MD",3,Durham Veterans Affairs Medical Center
"John R Guyton, MD",0,Durham Veterans Affairs Medical Center
"Pratap Challa, MD",0,Duke Regional Hospital
"Neil L Spector, MD",0,Durham Veterans Affairs Medical Center
"David Butterly, MD",3,Person Memorial Hospital
"Eileen Margolies Raynor, MD",1,Duke Raleigh Hospital
"David H Harpole, MD",1,Duke Regional Hospital
"Jay M Pyrtle, MD",0,Durham Veterans Affairs Medical Center
"Brian Czito, MD",0,Duke University Hospital
"Lisa G Criscione-Schreiber, MD",3,Duke University Hospital
"Jonathan C Routh, MD",2,Durham Veterans Affairs Medical Center
"Maureane Hoffman, MD",0,Durham Veterans Affairs Medical Center
"David Richard Sopko, MD",0,Duke University Hospital
"Erik Magnus Ohman, MD",0,Duke University Hospital
"Rodger A Liddle, MD",2,Duke University Hospital
"Brian E Brigman, MD",1,Durham Veterans Affairs Medical Center
"Patrick H. Pun, MD",2,Person Memorial Hospital
"David S Enterline, MD",1,Duke University Hospital
"Mahfuzul Haque, MD",0,Durham Veterans Affairs Medical Center
"Gary M. Felker, MD",3,Durham Veterans Affairs Medical Center
"Matthew Janik Crowley, MD",1,Durham Veterans Affairs Medical Center
"Scott D Moore, MD",3,Duke University Hospital
"Shelley R McDonald, DO",0,Duke University Hospital
"Steve Sok Choi, MD",0,Durham Veterans Affairs Medical Center
"Michael M Haglund, MD",0,Durham Veterans Affairs Medical Center
"Walter T Lee, MD",0,Durham Veterans Affairs Medical Center
"Sabino Zani Jr., MD",3,Durham Veterans Affairs Medical Center
"Shalini Ramasunder, MD",0,Durham Veterans Affairs Medical Center
"Thomas Povsic, MD",0,Durham Veterans Affairs Medical Center
"Charles Kim, MD",3,Durham Veterans Affairs Medical Center
"Bryan Batch, MD",1,Durham Veterans Affairs Medical Center
"Heather E Whitson, MD",2,Durham Veterans Affairs Medical Center
"Ryan J Fink, MD",2,Duke University Hospital
"Douglas D. Schocken, MD",3,Durham Veterans Affairs Medical Center
"Shu Lin, MD",3,Southeastern Health
"Thomas Gehrig, MD",0,Durham Veterans Affairs Medical Center
"Leila Mureebe, MD",0,Durham Veterans Affairs Medical Center
"Martin Poleski, MD",0,Duke Regional Hospital
"Justin Thomas Mhoon, MD",0,Duke Regional Hospital
"Robert William Harrison, MD",0,Durham Veterans Affairs Medical Center
"Randall Best, MD",1,Durham Veterans Affairs Medical Center
"Caroline Lillian Rao, MD",1,Durham Veterans Affairs Medical Center
"Katja (Elbert) Elbert-Avila, MD",2,Durham Veterans Affairs Medical Center
"Navjeet Kaur Sidhu-Malik, MD",3,Durham Veterans Affairs Medical Center
"Rebecca Ann Schroeder, MD",0,Durham Veterans Affairs Medical Center
"Samuel D Stanley, MD",3,Durham Veterans Affairs Medical Center
Karol Suzette Harshaw-Ellis,0,Durham Veterans Affairs Medical Center
"David Epstein, MD",3,Duke Raleigh Hospital
"Amy Langdon Lark, MD",1,Durham Veterans Affairs Medical Center
"Christopher Willett, MD",0,Duke University Hospital
"Cathleen Colon-Emeric, MD",3,Durham Veterans Affairs Medical Center
"Jonathan B Mark, MD",3,Durham Veterans Affairs Medical Center
"Chris Granger, MD",0,Durham Veterans Affairs Medical Center
"Claude A Piantadosi, MD",3,Durham Veterans Affairs Medical Center
"Julian Clint Hong, MD",0,Duke University Hospital
"Vadim Tsvankin, MD",0,Durham Veterans Affairs Medical Center
"Mark Paul Donahue, MD",0,Durham Veterans Affairs Medical Center
"Thomas Sporn, MD",0,Durham Veterans Affairs Medical Center
"Rendon C Nelson, MD",0,Durham Veterans Affairs Medical Center
"Gregory Georgiade, MD",3,Duke Raleigh Hospital
"Michael Nicolo Ferrandino, MD",2,Durham Veterans Affairs Medical Center
"Rachel M Reilly, MD",0,Durham Veterans Affairs Medical Center
"Steven A Olson, MD",0,Durham Veterans Affairs Medical Center
"Benjamin Matthew Wooster, MD",3,Durham Veterans Affairs Medical Center
"Robert Douglas Fitch, MD",3,Duke Regional Hospital
"Scott Thomas Hollenbeck, MD",1,Duke University Hospital
"Craig Ray Rackley, MD",0,Duke Regional Hospital
"Mahfuzul Haque, MD",0,Durham Veterans Affairs Medical Center
"Amy Marie Rice, MD",0,Durham Veterans Affairs Medical Center
"Russell Pritchett Hall III, MD",0,Durham Veterans Affairs Medical Center
"Joseph Kamel Salama, MD",2,Duke University Hospital
"Neil L Spector, MD",0,Durham Veterans Affairs Medical Center
"Coral Xantia (Day) Giovacchini, MD",1,Durham Veterans Affairs Medical Center
"Matthew Janik Crowley, MD",1,Durham Veterans Affairs Medical Center
"Bryan Batch, MD",1,Durham Veterans Affairs Medical Center
"Karen P Alexander, MD",3,Durham Veterans Affairs Medical Center
"Jacob Niall Schroder, MD",0,Durham Veterans Affairs Medical Center
"David M Kaylie, MD",0,Durham Veterans Affairs Medical Center
"Hans Ludger Tillmann, MD",0,Duke Regional Hospital
"Thomas Povsic, MD",0,Durham Veterans Affairs Medical Center
"Shalini Ramasunder, MD",0,Durham Veterans Affairs Medical Center
"John Kirkpatrick, MD",0,Duke Regional Hospital
"Charles Scott Brudney, MD",0,Duke University Hospital
"Amy Kantipong Manchester, MD",0,Durham Veterans Affairs Medical Center
"William C. Eward, MD",0,Duke University Hospital
"Scott A Strine, DO",0,Durham Veterans Affairs Medical Center
"Sherry Ross, MD",1,Durham Veterans Affairs Medical Center
"Joshua Franklyn Smith, PA",0,Durham Veterans Affairs Medical Center
"Thomas William Leblanc, MD",3,Durham Veterans Affairs Medical Center
"Douglas Scott Tyler, MD",1,University of Texas Medical Branch
"Deborah Anne Fisher, MD",2,Durham Veterans Affairs Medical Center
"Martin Poleski, MD",0,Duke Regional Hospital
"Leila Mureebe, MD",0,Durham Veterans Affairs Medical Center
"Randall Best, MD",1,Durham Veterans Affairs Medical Center
"Nicole Nilmeier Grant, MD",3,Durham Veterans Affairs Medical Center
"Elizabeth Innes Deans, MD",1,Durham Veterans Affairs Medical Center
"Tina Scott, PA",0,Maria Parham Medical Center
"Susan Merle Rakley, MD",3,Durham Veterans Affairs Medical Center
"Robert Dean Williams, PA",0,Durham Veterans Affairs Medical Center
"Robert H Sherrier, MD",3,Durham Veterans Affairs Medical Center
"Raquel Ray Bartz, MD",0,Duke Regional Hospital
"Loretta Que, MD",3,Durham Veterans Affairs Medical Center
"Karen Moore Goldstein, MD",3,Durham Veterans Affairs Medical Center
"Douglas Timothy Lane, PA",0,Duke Regional Hospital
"Julie Elizabeth Roeser, PA",0,Durham Veterans Affairs Medical Center
"Karen Moore Goldstein, MD",3,Durham Veterans Affairs Medical Center
"Loretta Que, MD",3,Durham Veterans Affairs Medical Center
"John Robert Horn Jr., PA",0,Durham Veterans Affairs Medical Center
"Blaine Paxton Hall, PA",0,Durham Veterans Affairs Medical Center
"Kelly (Burgess) Duewer, PA",0,Duke Raleigh Hospital
"James D Eastwood, MD",0,Durham Veterans Affairs Medical Center
"Jack I Twersky, MD",0,Durham Veterans Affairs Medical Center
"David Sung-Hyun Yoo, MD",3,Duke University Hospital
"Mark Vincent Cavaliere, PA",0,Vidant Bertie Hospital
"Sarah R Farris, MD",0,Duke University Hospital
"Katherine Marie Mackin, PA",0,North Carolina Specialty Hospital
"Van E. Tanner, PA",0,Durham Veterans Affairs Medical Center
"Joseph Robert Zanga Jr., MD",1,Durham Veterans Affairs Medical Center
"Rebekah J. Jakel, MD",0,Durham Veterans Affairs Medical Center
"Sanjay G Asrani, MD",0,Duke University Hospital
"William S Jones, MD",0,Durham Veterans Affairs Medical Center
"Muhammad Jawad Iqbal, MD",0,Sandhills Regional Medical Center
"Donald D Glower Jr., MD",3,Duke Regional Hospital
"Ara D Metjian, MD",0,Durham Veterans Affairs Medical Center
"Michael A Hertzberg, MD",1,Duke University Hospital
"Lawrence E Crawford, MD",1,Durham Veterans Affairs Medical Center
"Radhika Shah, MD",0,Duke Regional Hospital
"Matthew William Luedke, MD",2,Duke University Hospital
"Jonathan J Weiner, MD",1,Duke University Hospital
"Steven B Sorin, MD",2,Durham Veterans Affairs Medical Center
"Marisa (D'Silva Whitesell) D'Silva, MD",1,Durham Veterans Affairs Medical Center
"David Sung-Hyun Yoo, MD",3,Duke University Hospital
"Mark Vincent Cavaliere, PA",0,Vidant Bertie Hospital
"Sarah R Farris, MD",0,Duke University Hospital
"Katherine Marie Mackin, PA",0,North Carolina Specialty Hospital
